Survived,Pclass,Age,SibSp,Parch,Fare,HasCabin,FamilySize,IsAlone,FarePerPerson,Fare_log,Sex_female,Embarked_C,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Pclass_x_Fare
1,2,30.567086470510347,1,0,3.818166480322745,0,2,0,1.9090832401613724,1.572393457419443,1,0,1,1,0,0,0,3.144786914838886
1,3,26.122416983957628,0,1,19.57804105110439,0,2,0,9.789020525552194,3.0242245388541646,1,0,1,1,0,0,0,9.072673616562493
0,3,10.933638353608853,0,0,57.47136446514858,0,1,1,57.47136446514858,4.06853713807313,0,0,1,0,1,0,0,12.20561141421939
1,3,29.57115904880932,0,0,39.93012964718174,0,1,1,39.93012964718174,3.7118664580336644,1,0,1,1,0,0,0,11.135599374100993
1,1,12.517739991314013,0,0,18.44074067512012,1,1,1,18.44074067512012,2.9673708988785075,0,0,1,0,1,0,0,2.9673708988785075
0,1,29.343990111089028,4,2,174.9175420663906,1,7,0,24.98822029519866,5.170015374266171,0,0,1,0,0,0,1,5.170015374266171
1,1,27.411824508686,1,1,102.4014522200897,0,3,0,34.133817406696565,4.6386190066574216,1,0,0,0,0,1,0,4.6386190066574216
0,3,5.833553490043325,0,0,8.286517939442831,0,1,1,8.286517939442831,2.2285636644199327,0,0,1,0,1,0,0,6.685690993259798
0,3,27.00906451527083,0,1,10.656653516809426,0,2,0,5.328326758404713,2.455877134308977,0,1,0,0,1,0,0,7.36763140292693
0,3,28.19512292895071,0,0,25.954075023525487,1,1,1,25.954075023525487,3.2941344927342597,0,0,1,0,1,0,0,9.882403478202779
0,1,63.1442374331268,1,2,54.951624032507866,0,4,0,13.737906008126966,4.0244874608336865,0,0,1,0,0,0,1,4.0244874608336865
0,3,30.898414473541983,1,0,6.399811496312208,0,2,0,3.199905748156104,2.0014545264143466,0,0,1,0,1,0,0,6.00436357924304
0,3,29.59453265135896,0,2,9.31233588706253,0,3,0,3.1041119623541764,2.333340837552355,0,0,1,0,1,0,0,7.000022512657066
0,1,53.230019544187584,0,0,72.69618854103767,1,1,1,72.69618854103767,4.299951081996889,0,0,1,0,0,0,1,4.299951081996889
1,1,25.03073552681824,0,0,17.604970328617444,0,1,1,17.604970328617444,2.9234287669904044,1,0,1,0,0,1,0,2.9234287669904044
1,1,30.5662864976774,0,0,194.1831230136872,0,1,1,194.1831230136872,5.273938210270249,1,0,1,1,0,0,0,5.273938210270249
0,2,42.73453326769159,2,0,23.213632562854134,0,3,0,7.737877520951378,3.186915803595958,0,0,1,0,1,0,0,6.373831607191916
0,3,29.843532548220768,0,0,13.74283228697905,0,1,1,13.74283228697905,2.6907570180300047,0,0,1,0,1,0,0,8.072271054090013
1,2,42.86896210050405,0,0,2.1693791179095165,0,1,1,2.1693791179095165,1.153535706847554,0,0,1,0,1,0,0,2.307071413695108
0,2,13.882162079713453,0,0,19.18435432202959,1,1,1,19.18435432202959,3.0049077657838437,0,0,1,0,1,0,0,6.009815531567687
0,3,29.843532548220768,0,0,1.766281123343158,0,1,1,1.766281123343158,1.0175038634154128,0,0,1,0,1,0,0,3.0525115902462385
0,1,37.72296852153137,4,0,6.885231315864697,0,5,0,1.3770462631729394,2.0649915561755345,0,0,1,0,0,0,1,2.0649915561755345
0,2,23.176453682206944,0,0,15.510869998930623,1,1,1,15.510869998930623,2.804018951815078,0,0,1,0,1,0,0,5.608037903630156
0,2,25.735740245745777,0,2,10.670415106402642,0,3,0,3.5568050354675473,2.457057016051684,0,0,1,0,0,0,1,4.914114032103368
0,3,55.73299002402466,0,0,12.175197414631016,0,1,1,12.175197414631016,2.5783360783478813,0,1,0,0,1,0,0,7.735008235043644
0,3,26.62888424233252,1,0,1.2803510934605062,0,2,0,0.6401755467302531,0.8243294194712301,0,0,1,0,1,0,0,2.4729882584136904
1,1,27.411824508686,0,0,47.36298661699846,0,1,1,47.36298661699846,3.8787347818420947,1,1,0,1,0,0,0,3.8787347818420947
0,3,28.674499041518693,1,0,2.631953564133597,0,2,0,1.3159767820667985,1.289770675451808,1,0,1,0,0,1,0,3.8693120263554235
0,3,20.264776106586677,0,0,59.602324409366666,0,1,1,59.602324409366666,4.1043332489298825,0,0,0,0,1,0,0,12.312999746789647
1,1,20.94429036770928,0,0,69.18223989738864,1,1,1,69.18223989738864,4.251095286108968,1,1,0,0,0,0,1,4.251095286108968
0,3,33.412929912768114,0,0,15.932398357579707,0,1,1,15.932398357579707,2.829228849288356,0,1,0,0,1,0,0,8.487686547865069
1,1,50.59781916897358,0,2,33.06764624292465,0,3,0,11.022548747641551,3.5283481433727633,1,0,1,0,0,0,1,3.5283481433727633
1,1,14.31959188223738,0,0,8.36067833424498,0,1,1,8.36067833424498,2.2365177594709302,1,0,1,0,0,1,0,2.2365177594709302
1,3,53.83973448472453,0,0,51.02339163202277,0,1,1,51.02339163202277,3.951693456511523,0,0,1,0,1,0,0,11.85508036953457
0,3,37.11832703639762,1,0,4.620121926581987,1,2,0,2.3100609632909936,1.726353358791614,0,0,1,0,1,0,0,5.179060076374842
0,3,25.04188151093316,1,0,7.553010867632039,0,2,0,3.7765054338160193,2.14628336922008,0,1,0,0,1,0,0,6.438850107660239
0,2,32.49971616188419,0,1,21.72327148193553,1,2,0,10.861635740967765,3.1233895747695746,0,0,1,0,0,0,1,6.246779149539149
0,1,36.8282887411002,0,0,2.1006209495507635,0,1,1,2.1006209495507635,1.1316023977391687,0,0,1,0,0,0,1,1.1316023977391687
0,3,16.12321812104313,0,0,22.77071496069274,0,1,1,22.77071496069274,3.1684543591987984,0,0,1,0,1,0,0,9.505363077596396
0,2,26.028494329084467,0,0,15.920734381741292,1,1,1,15.920734381741292,2.8285397564123858,0,0,1,0,0,0,1,5.6570795128247715
1,1,27.411824508686,1,0,27.38660387041852,0,2,0,13.69330193520926,3.3459173391806445,1,0,1,0,0,0,1,3.3459173391806445
1,3,11.767833139435028,0,0,0.8711486288273431,0,1,1,0.8711486288273431,0.6265524823129329,1,1,0,0,0,1,0,1.8796574469387988
1,1,40.385098066420106,0,1,14.895898358366688,1,2,0,7.447949179183344,2.766061111064924,0,0,1,0,1,0,0,2.766061111064924
0,3,20.733227298589505,1,1,30.881409011550087,0,3,0,10.293803003850028,3.4620230502963465,0,0,1,0,1,0,0,10.386069150889039
0,2,25.598539624234085,1,2,23.979696456488888,0,4,0,5.994924114122222,3.2180633531619884,0,0,1,0,1,0,0,6.436126706323977
1,3,26.937491761066457,0,1,3.939449292100377,0,2,0,1.9697246460501885,1.5972538456536411,0,0,1,0,1,0,0,4.791761536960923
1,2,34.2153529389864,0,0,1.4045257510272424,0,1,1,1.4045257510272424,0.8773526911925787,1,0,1,1,0,0,0,1.7547053823851575
0,3,33.09060720937492,0,0,16.072426707328265,0,1,1,16.072426707328265,2.8374646888187502,0,0,1,0,1,0,0,8.51239406645625
1,3,29.843532548220768,0,1,11.63931680443882,0,2,0,5.81965840221941,2.5368123369762032,0,0,1,0,1,0,0,7.61043701092861
